VendaID,Data da Venda,ClienteID,VendedorID,Produto,Quantidade,Preço Unitário,Forma de Pagamento,Status da Venda,Região
1,2025-05-01,666,21,Headset HyperX,17,3357.65,Cartão de Crédito,Pago,SE
2,2025-04-04,1684,15,Headset HyperX,5,636.05,Cartão de Crédito,Cancelado,MA
3,2024-02-10,1083,50,Smartphone Samsung,3,1951.01,Dinheiro,Cancelado,CE
4,2025-05-22,1366,46,Headset HyperX,11,3363.5,PIX,Cancelado,
5,2024-05-07,554,22,Headset HyperX,15,1246.63,Transferência,Pendente,MS
6,2024-04-11,1696,39,Cadeira Gamer,13,2551.88,Transferência,Pendente,AM
7,2024-10-19,93,38,Smartphone Samsung,1,1803.61,Transferência,Cancelado,DF
8,2024-06-02,958,5,Pen Drive 64GB,17,3061.46,Boleto,Cancelado,SE
9,2025-06-23,159,29,Mouse Logitech,7,1748.51,Dinheiro,Pago,AM
10,2024-06-09,40,8,Pen Drive 64GB,16,1065.91,PIX,Pago,PR
11,2024-02-26,1558,4,Pen Drive 64GB,17,3420.89,Dinheiro,Pago,RS
12,2023-10-06,748,5,HD Externo 1TB,2,1260.21,Transferência,Cancelado,RO
13,2024-05-21,1650,20,Notebook Dell,2,1372.97,PIX,Cancelado,RO
14,2025-02-18,583,28,HD Externo 1TB,13,4343.58,PIX,Pendente,AC
15,2025-07-12,361,16,Cadeira Gamer,18,246.29,Dinheiro,Cancelado,SC
16,2023-10-15,833,45,"Monitor LG 24""",9,1128.93,PIX,Pago,
17,2023-11-01,1531,27,Mouse Logitech,9,241.79,Boleto,Pago,RS
18,2025-09-06,42,10,Headset HyperX,12,3040.09,PIX,Pendente,PR
19,2025-08-21,972,17,HD Externo 1TB,4,3009.32,Boleto,Pago,GO
20,2024-12-01,1934,32,Smartphone Samsung,7,2022.42,PIX,Pago,SC
21,2024-08-09,1949,14,Headset HyperX,16,1574.14,Transferência,Pendente,ES
22,2024-07-26,1304,13,"Monitor LG 24""",7,2255.0,PIX,Cancelado,PA
23,2024-12-09,367,9,Notebook Dell,20,1001.83,Boleto,Pago,MT
24,2025-01-19,459,9,HD Externo 1TB,2,2355.54,Cartão de Crédito,Pendente,SP
25,2024-04-11,1157,36,Notebook Dell,9,1517.55,Cartão de Crédito,Cancelado,PB
26,2023-10-01,1681,9,"Monitor LG 24""",6,3890.27,Boleto,Pago,PE
27,2025-06-15,950,50,HD Externo 1TB,15,4840.01,Transferência,Pago,AC
28,2025-05-25,1207,25,"Monitor LG 24""",3,3398.59,Dinheiro,Pendente,MT
29,2024-10-21,1263,43,Pen Drive 64GB,6,1262.07,Cartão de Crédito,Pendente,ES
30,2024-05-27,568,19,Headset HyperX,1,2098.01,PIX,Pago,PA
31,2024-05-17,1065,29,,19,3861.86,Transferência,Pendente,RO
32,2024-02-08,597,6,Pen Drive 64GB,8,3481.48,PIX,Cancelado,CE
33,2025-05-25,1681,22,Teclado Mecânico,20,1647.69,Dinheiro,Cancelado,PE
34,2024-04-06,121,2,Mouse Logitech,10,441.95,Cartão de Crédito,Pago,RR
35,2024-02-24,1200,49,Smartphone Samsung,8,4832.8,Cartão de Crédito,Cancelado,RR
36,2024-10-31,1367,8,Headset HyperX,13,95.91,Dinheiro,Pendente,MT
37,2024-07-18,37,41,Teclado Mecânico,12,2780.3,Transferência,Cancelado,SC
38,2025-02-06,1148,41,Smartphone Samsung,1,1896.57,Dinheiro,Cancelado,MG
39,2024-11-15,589,33,Mouse Logitech,15,2714.35,PIX,Pendente,PB
40,2023-11-22,353,4,Smartphone Samsung,2,1376.79,Dinheiro,Cancelado,RR
41,2025-02-15,1380,45,Headset HyperX,3,683.76,Dinheiro,Pago,RN
42,2024-06-21,1885,43,Cadeira Gamer,1,3716.33,Boleto,Pago,PR
43,2024-01-17,1936,19,Smartphone Samsung,4,3164.78,Boleto,Cancelado,MG
44,2024-12-18,1872,22,"Monitor LG 24""",7,4171.72,Dinheiro,Pendente,PR
45,2023-12-06,750,32,Teclado Mecânico,8,3192.41,Cartão de Crédito,Pendente,RO
46,2024-01-21,707,8,Cadeira Gamer,6,1628.83,Boleto,Pendente,SP
47,2025-02-06,1104,1,Headset HyperX,18,781.92,Transferência,Cancelado,SP
48,2024-10-13,1331,41,Mouse Logitech,15,2560.05,Cartão de Crédito,Cancelado,MG
49,2024-10-28,462,35,Teclado Mecânico,11,3533.46,Boleto,Cancelado,PA
50,2024-06-01,277,27,Cadeira Gamer,20,1715.1,Cartão de Crédito,Pendente,PB
51,2025-02-06,903,20,Headset HyperX,16,2395.22,Transferência,Pendente,PR
52,2024-05-06,44,38,Impressora HP,5,2143.25,Cartão de Crédito,Cancelado,AL
53,2024-06-15,1269,13,Smartphone Samsung,12,2276.04,Boleto,Cancelado,MA
54,2024-02-01,1014,33,HD Externo 1TB,2,501.65,Cartão de Crédito,Pendente,PB
55,2025-08-07,929,29,Headset HyperX,9,4387.53,Dinheiro,Pendente,PA
56,2024-07-19,642,42,Smartphone Samsung,19,4407.33,PIX,Pago,
57,2024-04-16,151,25,Teclado Mecânico,10,3349.29,Transferência,Pago,RS
58,2025-04-09,1305,44,Notebook Dell,14,4812.93,Cartão de Crédito,Pago,RR
59,2025-03-02,1864,13,Impressora HP,16,1873.58,PIX,Pago,MS
60,2023-12-25,1274,21,Mouse Logitech,11,1714.76,Cartão de Crédito,Cancelado,BA
61,2024-10-26,337,9,Headset HyperX,7,534.15,Boleto,Cancelado,AL
62,2025-08-08,159,30,Notebook Dell,20,1585.95,Transferência,Pendente,PR
63,2024-10-29,118,37,Impressora HP,5,4253.12,Cartão de Crédito,Pendente,AL
64,2023-11-16,565,3,"Monitor LG 24""",8,2985.01,Dinheiro,Pago,AL
65,2025-03-23,315,23,Teclado Mecânico,9,224.91,PIX,Pago,SP
66,2025-08-18,1474,40,"Monitor LG 24""",7,2995.12,Boleto,Pago,RJ
67,2024-03-11,1763,16,Impressora HP,19,3077.07,PIX,Pendente,PI
68,2024-08-26,1290,38,"Monitor LG 24""",11,3856.18,PIX,Cancelado,SE
69,2024-12-16,1931,9,Mouse Logitech,6,2044.03,Dinheiro,Pendente,TO
70,2024-11-30,545,6,Pen Drive 64GB,8,3511.46,Transferência,Pendente,AL
71,2023-12-10,1878,13,Smartphone Samsung,2,656.3,Boleto,Pago,MG
72,2024-11-03,866,50,Impressora HP,15,168.41,PIX,Pago,SC
73,2024-02-16,139,42,Smartphone Samsung,1,4992.57,PIX,Pago,MT
74,2025-04-29,527,6,Notebook Dell,15,1155.17,Transferência,Pago,PI
75,2024-02-15,1876,18,HD Externo 1TB,11,2216.54,Dinheiro,Cancelado,RN
